Wavelength [nm],Intensity
414.682,605.928022106489
415.019,295.368865529696
415.356,225.543565094471
415.692,112.26313662529
416.029,80.231560215354
416.366,141.372150361538
416.702,460.444324970245
417.039,567.983182440201
417.376,560.940328756968
417.712,699.365384012461
418.049,1138.57992992302
418.386,1492.56188628574
418.722,1915.92679602901
419.059,2346.28869846463
419.395,3005.86411752303
419.732,3343.80745351315
420.068,3104.16108592351
420.405,2355.19594715039
420.742,1359.75811101993
421.078,650.122268925111
421.415,283.051597932975
421.751,450.496200501919
422.088,595.574389636517
422.424,609.183918098609
422.760,515.825774719318
423.097,737.522514164448
423.433,881.241056303183
423.770,938.110239843527
424.106,1059.60022904476
424.443,1478.8658986787
424.779,2095.23080840707
425.115,2794.32102668285
425.452,3588.56311237812
425.788,4595.97237940629
426.124,5734.3518512547
426.461,6631.05310157935
426.797,6557.53830230236
427.133,5452.67165186008
427.470,3854.82078954081
427.806,2415.2511075139
428.142,1312.82577471932
428.479,685.23880080382
428.815,532.445076793432
429.151,388.7821692427
429.487,455.996437629064
429.824,406.94531395038
430.160,484.327041208744
430.496,415.281932085753
430.832,356.202991113067
431.168,448.175173819065
431.505,604.787431945404
431.841,910.228275398413
432.177,1281.75811101993
432.513,1814.71375372012
432.849,2191.80848287543
433.185,2670.48341956735
433.521,3226.51349234581
433.857,3966.97463484605
434.194,4355.77286982536
434.530,3820.79091352224
434.866,2572.33305579424
435.202,1220.27619509523
435.538,546.164648339152
435.874,434.685184588035
436.210,423.872665042679
436.546,426.45362435778
436.882,324.214268401265
437.218,244.282683908939
437.554,161.90724871556
437.890,240.25637024641
438.226,564.054605225722
438.562,548.084678004185
438.898,476.342077583075
439.233,283.089940736691
439.569,441.128283480803
439.905,373.372902184725
440.241,230.947569390138
440.577,205.808957159519
440.913,348.956591208776
441.249,545.083926151196
441.584,437.312004834414
441.920,339.257873892784
442.256,306.584440847238
442.592,238.742322822412
442.928,255.961102147897
443.264,215.359091858069
443.599,267.140312592189
443.935,308.118035569787
444.271,168.457383458813
444.607,255.540835340818
444.942,286.169911071658
445.278,421.249603882432
445.614,292.606995423635
445.949,365.371398538351
446.285,310.535295069218
446.621,294.638294279575
446.956,256.129787097375
447.292,522.17818108201
447.628,841.880183229844
447.963,878.901234174768
448.299,976.757636758188
448.634,1216.1954729259
448.970,1119.91298570236
449.306,760.371872762839
449.641,175.379668533802
449.977,99.0293209385127
450.312,103.118787385523
450.648,139.91448934873
450.983,-1.57549985249835
451.319,-23.1584371129672
451.654,146.659622748693
451.990,301.327793061733
452.325,238.293961197138
452.661,185.980175147454
452.996,239.490185916424
453.332,325.837052007516
453.667,253.34734031558
454.002,231.445354347428
454.338,416.774928594629
454.673,451.358617633581
455.009,511.310501217842
455.344,581.021525184313
455.679,817.096707085768
456.015,1004.70125033582
456.350,1131.91203718632
456.685,1436.7877095143
457.021,1727.22479385138
457.356,1535.15835622946
457.691,879.847577412923
458.027,416.318771213293
458.362,214.969649682442
458.697,196.480689828595
459.032,37.7170385370652
459.368,53.1458528637886
459.703,210.601732691129
460.038,295.384179472923
460.373,248.442069530487
460.708,235.975664238135
461.044,184.092473722994
461.379,215.53857990106
461.714,145.056108872096
462.049,163.39771220088
462.384,321.982430617015
462.719,261.150363788009
463.054,255.128561019897
463.390,91.6122581561406
463.725,397.682929118474
464.060,387.960627863805
464.395,466.552112629016
464.730,407.835825930039
465.065,643.525047158202
465.400,859.723527332147
465.735,833.180159012477
466.070,951.059116135041
466.405,892.771643777688
466.740,861.926518460115
467.075,486.465375900269
467.410,479.162392884493
467.745,458.348369711389
468.080,353.157881975174
468.415,79.3458366990089
468.750,67.2262974828482
469.084,222.439339799186
469.419,209.662630011638
469.754,123.546572327614
470.089,145.885168393453
470.424,288.460113167763
470.759,328.415755867958
471.094,256.038817028205
471.428,359.958372394244
471.763,339.210509300232
472.098,348.177429258823
472.433,241.884694154064
472.768,362.073678247631
473.102,397.606521154444
473.437,271.145101055503
473.772,64.155348966519
474.107,123.408989489079
474.441,248.066911883652
474.776,247.262384802103
475.111,141.439814060926
475.445,123.588199963172
475.780,238.833570460478
476.115,275.771169501046
476.449,176.205246567726
476.784,96.3127566874027
477.119,370.138334676623
477.453,319.279954192539
477.788,277.947372674942
478.123,40.8155268232027
478.457,245.304486662149
478.792,416.457105904818
479.126,383.675885200501
479.461,284.527025043964
479.795,322.937321494023
480.130,408.937321494023
480.464,559.84860684971
480.799,653.759140389661
481.133,637.877175966899
481.468,452.539331709345
481.802,153.708768526713
482.137,112.502492596706
482.471,229.660374542077
482.806,297.016540015116
483.140,144.246874158581
483.474,233.905745069186
483.809,306.988445142905
484.143,317.389442205429
484.478,112.821263809999
484.812,63.2390784025192
485.146,221.522791703542
485.481,276.060619781415
485.815,234.59496631225
486.149,249.043605495244
486.484,311.095481000841
486.818,304.895219619076
487.152,109.643082698186
487.486,319.556623553236
487.821,400.335588790088
488.155,444.018795473501
488.489,200.443098892768
488.823,275.836577738325
489.158,361.675410916408
489.492,283.322530299425
489.826,221.908000538746
490.160,323.291705727577
490.494,448.943336019913
490.829,494.898978705208
491.163,533.931306908528
491.497,740.673907299837
491.831,787.550608997544
492.165,586.112772837281
492.499,136.038065205018
492.833,24.1004661719004
493.167,60.9568687776724
493.501,152.276669353247
493.835,192.732074911396
494.169,265.185976838072
494.503,341.654637564595
494.837,279.620528151592
495.171,107.453346818686
495.505,144.652856369813
495.839,132.463398014506
496.173,203.841840485732
496.507,190.371398538351
496.841,239.336063057184
497.175,426.125553756952
497.509,250.21727566421
497.843,98.640827258428
498.177,60.9809269706408
498.511,176.998970607916
498.845,250.169159263372
499.179,68.8997305283943
499.512,190.964386979739
499.846,260.112021014094
500.180,398.770417670409
500.514,150.806504974763
500.848,117.417537053426
501.181,152.325815144305
501.515,266.966919969767
501.849,120.479186197122
502.183,131.980175147454
502.517,364.020773361127
502.850,461.25637024641
503.184,351.15863378346
503.518,338.45362435778
503.851,392.317545135816
504.185,325.659148477639
504.519,67.1263055801392
504.852,83.0593936927617
505.186,102.704257613669
505.520,136.598725428184
505.853,-44.9912557502588
506.187,91.5754190286001
506.521,190.157881975174
506.854,331.08270008117
507.188,177.408515227338
507.521,157.701250335822
507.855,143.369420641412
508.188,123.741096744935
508.522,152.548353542884
508.855,197.099714378516
509.189,391.424025863409
509.522,276.023780653874
509.856,107.716009159883
510.189,-8.07245217760408
510.523,111.400997040172
510.856,177.757636758188
511.190,186.123298294842
511.523,139.125553756952
511.857,302.291705727577
512.190,194.087685267131
512.523,75.7794395039479
512.857,96.1250794877609
513.190,401.771921316783
513.523,498.655111809572
513.857,390.449865264197
514.190,199.513018046816
514.523,128.339822143316
514.857,61.5949663122495
515.190,-112.070196708043
515.523,36.3721503615379
515.857,291.024532477061
516.190,329.251107513905
516.523,135.550608997544
516.856,-5.47495284179843
517.190,142.11953920126
517.523,178.496478041013
517.856,-26.0844812740883
518.189,177.600980867942
518.522,435.21727566421
518.856,518.886949593822
519.189,337.280428469181
519.522,160.273662090302
519.855,291.407763411601
520.188,190.523069257538
520.521,146.722301265846
520.854,112.656615485748
521.187,384.995963344971
521.520,351.520536233981
521.854,308.518280779322
522.187,201.133546213309
522.520,358.922007580598
522.853,464.092947999636
523.186,392.767410407464
523.519,368.213042308887
523.852,381.363406089445
524.185,248.278924822807
524.518,74.0117515424887
524.851,50.3037348389626
525.183,234.387938559055
525.516,338.193691710631
525.849,317.140312592189
526.182,421.640075435241
526.515,599.157130151987
