COOPID, YEAR, MONTH, DAY, meanTemp
80211,2013,5,20,-99.90000
80211,2013,5,21,-99.90000
80211,2013,5,22,79.50000
80211,2013,5,23,80.00000
80211,2013,5,24,81.00000
80211,2013,5,25,72.50000
80211,2013,5,26,73.50000
80211,2013,5,27,74.50000
80211,2013,5,28,77.00000
80211,2013,5,29,81.50000
80211,2013,5,30,82.00000
80211,2013,5,31,82.00000
80211,2013,6,1,80.50000
80211,2013,6,2,79.50000
80211,2013,6,3,80.00000
80211,2013,6,4,83.00000
80211,2013,6,5,81.00000
80211,2013,6,6,76.00000
80211,2013,6,7,77.50000
80211,2013,6,8,81.50000
80211,2013,6,9,80.50000
80211,2013,6,10,82.00000
80211,2013,6,11,81.50000
80211,2013,6,12,82.50000
80211,2013,6,13,83.50000
80211,2013,6,14,85.00000
80211,2013,6,15,81.00000
80211,2013,6,16,82.50000
80211,2013,6,17,80.50000
80211,2013,6,18,84.50000
80211,2013,6,19,85.00000
80211,2013,6,20,82.00000
80211,2013,6,21,80.50000
80211,2013,6,22,79.50000
80211,2013,6,23,83.00000
80211,2013,6,24,82.00000
80211,2013,6,25,82.00000
80211,2013,6,26,82.50000
80211,2013,6,27,83.00000
80211,2013,6,28,83.50000
80211,2013,6,29,80.50000
80211,2013,6,30,81.50000
80211,2013,7,1,84.00000
80211,2013,7,2,83.50000
80211,2013,7,3,81.00000
80211,2013,7,4,78.00000
