Wavelength [nm],Intensity (a.u)
404.576,3136.08076153199
404.913,4085.51888328791
405.250,4738.67787253857
405.587,4961.86938244104
405.924,4386.55267069737
406.261,2872.03071822723
406.598,1672.14779212077
406.935,767.936591506004
407.272,654.957727630933
407.609,351.744537462791
407.946,181.600545942783
408.283,143.102263410886
408.620,336.69160348177
408.956,446.173987070719
409.293,294.682387133439
409.630,202.290516793728
409.967,140.250046819448
410.304,186.224753051996
410.641,115.834872325261
410.978,145.144178767999
411.315,257.0523985823
411.651,279.918703039487
411.988,304.357547442118
412.325,237.157909651597
412.662,443.175253947576
412.999,409.001088400682
413.335,497.466850399971
413.672,480.225297252337
414.009,610.664864361286
414.346,498.891241272291
414.682,247.904972155889
415.019,20.3416484991709
415.356,17.5224967002869
415.692,-58.0803958078226
416.029,-54.1107483108839
416.366,64.0243925849597
416.702,352.760436405738
417.039,451.304247707129
417.376,339.596388359865
417.712,301.01788849632
418.049,497.90370524923
418.386,618.886360968153
418.722,748.916713486115
419.059,742.610841919979
419.395,953.510211110115
419.732,1071.77615690231
420.068,1065.4623358051
420.405,908.175432423751
420.742,553.408313423395
421.078,283.437943249941
421.415,76.3700114488602
421.751,254.810301234325
422.088,388.552126467228
422.424,419.163869569699
422.760,349.473354518414
423.097,560.502261698246
423.433,614.885459800561
423.770,531.426380395889
424.106,472.589884241422
424.443,625.858176509539
424.779,840.888529012601
425.115,972.308583796024
425.452,1115.5412863493
425.788,1390.28094349305
426.124,1536.00488025943
426.461,1650.70479016503
426.797,1481.8507712086
427.133,1158.99187205235
427.470,858.148149117827
427.806,521.908041338126
428.142,318.806687851747
428.479,173.216625074546
428.815,253.094492415587
429.151,264.764772494634
429.487,304.637402534485
429.824,304.92159374555
430.160,303.981031874816
430.496,259.271004468203
430.832,151.528456573685
431.168,182.501717468103
431.505,224.43649789691
431.841,397.539840936661
432.177,553.074980090062
432.513,775.032342086236
432.849,764.790066232284
433.185,767.131349037091
433.521,731.160256187121
433.857,973.616444885731
434.194,1282.74291366339
434.530,1216.76025795937
434.866,866.320146650076
435.202,340.611743091295
435.538,232.158266618848
435.874,254.671546926101
436.210,282.864680613081
436.546,296.448961918553
436.882,231.872630084554
437.218,116.938393841187
437.554,19.2312571704388
437.890,90.9131000737349
438.226,409.039568851392
438.562,434.735142668088
438.898,372.328818768263
439.233,221.7402014335
439.569,307.110391358535
439.905,213.358448624611
440.241,105.590428471565
440.577,47.7776021957397
440.913,158.932433923086
441.249,269.401086628437
441.584,191.299911618233
441.920,138.581212123235
442.256,154.908041338126
442.592,115.393137186766
442.928,148.936770041784
443.264,142.665587007999
443.599,238.121954212586
443.935,305.446793881555
444.271,158.452575308581
444.607,275.866125966112
444.942,317.163325369358
445.278,428.906595985095
445.614,233.929721693198
445.949,238.023669908444
446.285,219.514547228813
446.621,201.613554179668
446.956,102.445170044899
447.292,236.837941507498
447.628,447.538574059804
447.963,368.225475743413
448.299,301.754110785822
448.634,480.521229778727
448.970,514.223851899306
449.306,386.344539205233
449.641,-42.3017139534156
449.977,-19.6384821987401
450.312,30.447516558071
450.648,110.225297252337
450.983,2.39512674013776
451.319,-14.1781359116237
451.654,184.313642531633
451.990,299.315087914467
452.325,243.61590068539
452.661,162.968023667733
452.996,218.137853125731
453.332,286.150861362616
453.667,159.667210867008
454.002,127.774345780412
454.338,273.437399064501
454.673,291.011384377877
455.009,314.298466295004
455.344,240.007770965497
455.679,318.413372188807
456.015,258.033243216574
456.350,167.915446601808
456.685,245.783017928402
457.021,440.216080918908
457.356,438.139298508565
457.691,180.160978833834
458.027,71.6397490700086
458.362,84.6245728333791
458.697,99.4749783476194
459.032,-67.9515805281699
459.368,-34.8598003387451
459.703,163.924662957589
460.038,290.035955439011
460.373,238.758268376192
460.708,212.29702091217
461.044,231.088889472187
461.379,315.863957936565
461.714,263.041014204423
462.049,226.048963646094
462.384,308.303525030613
462.719,183.477869068583
463.054,121.790244708459
463.390,-17.3985529045264
463.725,294.336045563221
464.060,283.61590068539
464.395,261.876966143648
464.730,132.162602692842
465.065,315.850949729482
465.400,458.041736880938
465.735,315.493589520454
466.070,249.710571577152
466.405,218.087988326947
466.740,312.236860136191
467.075,246.447338074446
467.410,378.1560985744
467.745,465.681120239819
468.080,313.48509584864
468.415,-9.3342344860236
468.750,-100.115807061394
469.084,68.4352310200532
469.419,126.649866571029
469.754,35.8587206800779
470.089,10.8637794454892
470.424,61.4422793090344
470.759,72.3996413052082
471.094,25.357725918293
471.428,148.28039932251
471.763,245.869016687075
472.098,214.503885482748
472.433,142.876243482033
472.768,287.73748917381
473.102,439.94218570739
473.437,346.139476984739
473.772,116.136407802502
474.107,127.393137186766
474.441,274.397651736935
474.776,269.585548182328
475.111,165.422767013311
475.445,135.244988068938
475.780,280.160434663296
476.115,326.433785667022
476.449,242.197291269898
476.784,131.300634324551
477.119,410.799639532964
477.453,342.948689818382
477.788,284.949412494898
478.123,21.1430903822184
478.457,190.62601818641
478.792,337.106055269639
479.126,303.316354731719
479.461,201.506597697735
479.795,213.926830987136
480.130,236.593497653802
480.464,299.508221571644
480.799,333.088889472187
481.133,358.535683353742
481.468,218.198013946414
481.802,16.7071366707484
482.137,10.8292693595091
482.471,157.981031874816
482.806,196.349232263242
483.140,54.9168919548392
483.474,203.896478469173
483.809,306.309306442738
484.143,295.041014204423
484.478,57.1356850961844
484.812,15.5631451358398
485.146,221.182115018368
485.481,244.378683596849
485.815,203.918158839146
486.149,182.708582027505
486.484,284.758446852366
486.818,297.219694301486
487.152,98.297743588686
487.486,326.881302217643
487.821,374.6688347025
488.155,385.684733633573
488.489,67.105511084199
488.823,152.496658702691
489.158,251.662152101596
489.492,154.97669578592
489.826,25.5653131802877
490.160,65.6137326558431
490.494,158.265945732594
490.829,173.223307698965
491.163,135.587716211875
491.497,306.994040111701
491.831,400.20885412395
492.165,312.441735131045
492.499,22.3570032417774
492.833,-18.5830144286156
493.167,109.612287302812
493.501,151.599279065927
493.835,184.396206376453
494.169,206.858354985714
494.503,297.65510380889
494.837,209.942729900281
495.171,-14.2308914462725
495.505,-15.6928615868092
495.839,-5.87497659027576
496.173,91.5017174681028
496.507,123.023669908444
496.841,123.656370689472
497.175,344.787354002396
497.509,141.20885412395
497.843,82.6289088924726
498.177,98.3020796775818
498.511,225.986090610425
498.845,284.495936026176
499.179,78.2240303903818
499.512,183.61951409777
499.846,253.774345780412
500.180,336.766396316389
500.514,97.4677515526613
500.848,48.4142733414968
501.181,105.65943988009
501.515,275.968202140182
501.849,130.140199661255
502.183,75.3013570010662
502.517,238.340381652117
502.850,296.913100073735
503.184,249.485818525155
503.518,290.448961918553
503.851,352.318157080871
504.185,284.326106546757
504.519,5.78807668636239
504.852,35.3904249457022
505.186,116.036133933812
505.520,201.255105555058
505.853,65.3288187682629
506.187,123.899369190137
506.521,162.48509584864
506.854,226.746161321799
507.188,85.0722678676248
507.521,72.3665765499076
507.855,142.368021906664
508.188,154.404878524443
508.522,223.540019427737
508.855,190.082929591338
509.189,349.740924080213
509.522,212.676605691512
509.856,56.7011767526468
510.189,-32.0825638373693
510.523,57.3983744134506
510.856,105.420777452489
511.190,74.1185192912817
511.523,66.7873540023962
511.857,249.28039932251
512.190,190.404700040817
512.523,70.7750684643785
512.857,96.7998180091381
513.190,395.434508343538
513.523,472.309306442738
513.857,403.112015195191
514.190,225.506053527196
514.523,193.326650738716
514.857,101.918158839146
515.190,-85.0803958078226
515.523,18.0243925849596
515.857,208.343995034695
516.190,227.241374671459
516.523,-0.457812542716624
516.856,-33.8157169371843
517.190,143.78157256792
517.523,194.823487932483
517.856,-60.4274600396553
518.189,92.9239402810732
518.522,380.875520790617
518.856,405.878411496679
519.189,214.269559144974
519.522,14.5963883598646
519.855,222.404878524443
520.188,144.195301716526
520.521,111.720144885282
520.854,81.3107518255711
521.187,351.983199904362
521.520,315.17994697392
521.854,259.511112277706
